train,test
1.6051493,1.6035651
1.5597509,1.5780994
1.4787239,1.5569303
1.4153602,1.5342731
1.3639444,1.5400525
1.3294239,1.4562829
1.2877188,1.4071356
1.2489964,1.3764051
1.216047,1.3424155
1.1805751,1.2849917
1.1508371,1.252449
1.1242309,1.2603694
1.1039056,1.2192918
1.0868652,1.2075292
1.0692542,1.1958886
1.0556937,1.177207
1.0450051,1.1698086
1.0342506,1.191791
1.0230671,1.1818757
1.0136172,1.1451802
1.0036377,1.1693885
0.9956942,1.157765
0.98973334,1.1611991
0.9827489,1.1434926
0.97818303,1.1315557
0.9695297,1.1435088
0.96441716,1.1503564
0.9580856,1.1449095
0.9519999,1.1440256
0.94705194,1.1210288
0.9431825,1.1339498
0.9379821,1.1210983
0.933253,1.1135643
0.9274482,1.1504996
0.92238075,1.1240194
0.9163003,1.1334647
0.91067857,1.1254883
0.9059358,1.114967
0.90331733,1.1175601
0.8983525,1.119014
0.8922343,1.1269295
0.8883411,1.0999938
0.8831119,1.1106025
0.8813723,1.0922618
0.879993,1.1061695
0.87410915,1.1053953
0.8687374,1.1042591
0.86749786,1.1246167
0.86313987,1.0941789
0.8615715,1.1148998
0.85625935,1.0862029
0.8555031,1.0933295
0.8499383,1.0719136
0.8437314,1.0923159
0.84219146,1.1064758
0.8372761,1.0957776
0.83402485,1.0925102
0.8307444,1.1067199
0.8291391,1.0850798
0.8234003,1.138972
0.81957316,1.0831884
0.8180505,1.0798156
0.81253177,1.0800226
0.81093955,1.0728033
0.80894756,1.0767968
0.8049455,1.0820175
0.8025583,1.0922822
0.80229694,1.0857753
0.7987628,1.0700997
0.793905,1.0692842
0.7922532,1.0720363
0.7919443,1.0708843
0.7874413,1.078373
0.7852422,1.064993
0.78269273,1.0870686
0.7801732,1.050452
0.77846307,1.0711563
0.7758473,1.0419894
0.77259797,1.056331
0.77001256,1.0798074
0.76650554,1.0632771
0.763588,1.0554471
0.76210845,1.0745411
0.760653,1.0633352
0.75920945,1.0434499
0.7582454,1.047629
0.7548699,1.0731196
0.7521138,1.037443
0.7525334,1.042682
0.7521408,1.0348449
0.7498357,1.0402526
0.7468809,1.0531436
0.74383825,1.050452
0.74144006,1.0649436
0.74262244,1.0270171
0.7416698,1.0265515
0.73688656,1.0586652
0.737391,1.0306195
0.734507,1.0467175
0.73456645,1.0533403
0.73122704,1.0398002
0.73043036,1.0321314
0.72778213,1.0450476
0.7263436,1.0243422
0.725452,1.0303779
0.7250099,1.0494422
0.7228091,1.0318632
0.7210951,1.0295696
0.7215969,1.0283684
0.72090554,1.03506
0.71994364,1.0267024
0.71934265,1.0268708
0.7171281,1.0296024
0.71467143,1.0264846
0.71455175,1.0211767
0.7126264,1.0240206
0.71371645,1.0489421
0.7123801,1.0191954
0.70926744,1.0259433
0.7094819,1.0221441
0.70741135,1.0194504
0.7061103,1.0309052
0.7058521,1.0269537
0.7049335,1.0275251
0.704717,1.0208831
0.701924,1.0198699
0.70220846,1.0250558
0.70068747,1.029107
0.70026696,1.0148462
0.69888854,1.0334942
0.6979311,1.0256293
0.69726646,1.0105995
0.6964618,1.0297396
0.6950968,1.021229
0.69484824,1.0117459
0.6931118,1.0118048
0.6926446,1.0077318
0.6924491,1.005018
0.6918703,1.0227114
0.690439,1.0164086
0.6913508,1.0104868
0.68839854,1.0208707
0.68748397,1.005955
0.68734825,1.0129077
0.68622,1.0150446
0.6865373,1.0279434
0.6861281,1.0177355
0.68438053,1.0195947
0.684858,1.0196433
0.6837943,1.0037738
0.6835354,1.0053363
0.6817963,1.0071323
0.6816965,1.0143243
0.6811474,1.0091398
0.68051034,1.0008881
0.68087363,1.0090897
0.67873865,1.0203319
0.67886496,1.0222397
0.6786724,0.99861455
0.6778194,1.0123895
0.67690897,1.0097597
0.67618096,1.0062422
0.6754496,0.9992538
0.67464095,1.013334
0.67412084,1.0122145
0.67370564,1.0007995
0.67415166,1.000806
0.6734438,1.0059439
0.67253053,1.000778
0.6730313,1.0101918
0.6718223,0.9972605
0.67142147,0.99996245
0.6708302,1.0077846
0.67048013,1.0009781
0.6697805,1.0062963
0.67038983,0.9945009
0.668913,1.020727
0.6684299,0.99513656
0.6686645,0.9989256
0.6671422,1.0023853
0.66732514,1.0091423
0.66642696,1.0017812
0.665565,1.004502
0.66585875,1.0101745
0.66532725,1.0034637
0.6656546,1.0008683
0.66422755,1.0039395
0.6645303,1.0118862
0.66491014,1.0036426
0.6632294,0.9930866
0.6635368,1.0055747
0.66245335,0.99814194
0.66268283,0.9976124
0.66160506,0.9989894
0.66172653,0.99409646
0.66150326,0.9882167
0.66087204,0.9990558
0.6605109,0.9979194
0.6603554,0.99994266
0.65993816,0.9923676
